Name,Description,Address,Image,Motto,Longitude,Latitude
288 Club,A touching obituary in the SF Chronicle tells us about a woman named Clarisse--a nightclub photographer who was slain in her apartment across the street from 288 Club. A fond memory shared in the obituary was about a night when the landlord unexpectedly evicted the business so all of its regulars got together to share the remaining booze and a final laugh or two.,288 Turk ,P005_04.jpg,No motto on matchbook,-122.4138195,37.7830452
441 Club,Became bar called Tradition that is currently being converted into a Tiki bar named Zombie Village. ,441 Jones ,P0011_02.jpg,We satisfy particular people,-122.4132072,37.7855303
600 Club,,600 Larkin,,Not on matchbook?,-122.4175507,37.7833244
924 Billiard Club,"Welker Cochran, who purchased the hall in 1933, and who changed the name from “the Graney” to “924 Club,” won five world billiards championships and became a popular socialite.",924 Market ,,A gentleman's pastime,-122.4087024,37.7843455
Ace Cafe,,579 Geary St ,P0024_02.jpg,Ace of restaurants,-122.4127554,37.7866232
Alexander Hamilton,"Costing $1.5 million, the Alexander Hamilton Hotel was designed by famous art deco architect, Albert H. Larsen. The interior, which includes a painted mural of California’s colonial history in the lobby, was designed by Frank W. Bergman. In its time, it was one of the most glamorous hotels in the city.",631 O'Farrell St,P003_05.jpg,22 -- Story Hotel and Apartments,-122.4151808,37.7852037
Alexander Hamilton,,631 O'Farrell St,P0027_04.jpg,22 stories of fine hotel accommodations,-122.4151808,37.7852037
Ambassador Hotel,"Opened in 1911 as a theater and hotel, Ambassador Hotel has a storied past, and has been the location of numerous murders and suicides. Cited in 1971 under the Red Light Abatement Act, the hotel was considered a bordello by the city. Gay activist Hank Wilson once managed The Ambassador, now owned by the nonprofit Tenderloin Neighborhood Development Corps., as informal supportive housing for people with AIDS. (This chapter of the hotel’s history is chronicled in a 1994 documentary, “Life and Death at the Ambassador Hotel”). The Ambassador was also once home to sci-fi writer Miriam Allen de Ford.
",55 Mason ,P0013_06.jpg,The toast of San Francisco,-122.4099596,37.7839057
Antler's Club,,390 Golden Gate ,P007_06.jpg,You'll enjoy our congenial atmosphere,-122.4170643,37.7816178
Asia Restaurant,Was New Tientsin restaurant c. 1941-1972 before becoming Asia Restaurant.,96 Eddy ,P006_02.jpg,Bring the family for Sunday dinner,-122.4092883,37.7843712
